category,path,labeled,predicted,class
Therapeutic,/Therapeutic,57750.0,837036.0,Therapeutic
Antimicrobial,/Therapeutic/Antimicrobial,40853.0,694090.0,Therapeutic
Antibacterial,/Therapeutic/Antimicrobial/Antibacterial,24377.0,8290.0,Therapeutic
Anti gram (+),/Therapeutic/Antimicrobial/Antibacterial/Anti gram (+),18734.0,549161.0,Therapeutic
Anti methicillin-resistant s. aureus,/Therapeutic/Antimicrobial/Antibacterial/Anti gram (+)/Anti methicillin-resistant s. aureus,395.0,435885.0,Therapeutic
Anti gram (-),/Therapeutic/Antimicrobial/Antibacterial/Anti gram (-),15453.0,326400.0,Therapeutic
Anti biofilm,/Therapeutic/Antimicrobial/Antibacterial/Anti biofilm,505.0,66.0,Therapeutic
Anti tuberculosis,/Therapeutic/Antimicrobial/Antibacterial/Anti tuberculosis,357.0,717496.0,Therapeutic
Anti mollicute,/Therapeutic/Antimicrobial/Antibacterial/Anti mollicute,39.0,0.0,Therapeutic
Bacteriocin,/Therapeutic/Antimicrobial/Antibacterial/Bacteriocin,2.0,0.0,Therapeutic
Anti fungal,/Therapeutic/Antimicrobial/Anti fungal,11772.0,23981.0,Therapeutic
Anti candida,/Therapeutic/Antimicrobial/Anti fungal/Anti candida,758.0,312.0,Therapeutic
Antiparasitic,/Therapeutic/Antimicrobial/Antiparasitic,6312.0,24217.0,Therapeutic
Anti nematode,/Therapeutic/Antimicrobial/Antiparasitic/Anti nematode,118.0,71.0,Therapeutic
Antiviral,/Therapeutic/Antimicrobial/Antiviral,5899.0,1182108.0,Therapeutic
Anti retroviridae,/Therapeutic/Antimicrobial/Antiviral/Anti retroviridae,1548.0,8759.0,Therapeutic
Anti HIV,/Therapeutic/Antimicrobial/Antiviral/Anti retroviridae/Anti HIV,1405.0,3368.0,Therapeutic
Anti feline immunodeficiency virus,/Therapeutic/Antimicrobial/Antiviral/Anti retroviridae/Anti feline immunodeficiency virus,124.0,10138.0,Therapeutic
Anti simian immunodeficiency virus,/Therapeutic/Antimicrobial/Antiviral/Anti retroviridae/Anti simian immunodeficiency virus,19.0,0.0,Therapeutic
Anti feline leukemia virus,/Therapeutic/Antimicrobial/Antiviral/Anti retroviridae/Anti feline leukemia virus,13.0,0.0,Therapeutic
Anti human t-cell leukaemia virus 1,/Therapeutic/Antimicrobial/Antiviral/Anti retroviridae/Anti human t-cell leukaemia virus 1,7.0,0.0,Therapeutic
Anti avian sarcoma and leukosis virus- a,/Therapeutic/Antimicrobial/Antiviral/Anti retroviridae/Anti avian sarcoma and leukosis virus- a,6.0,0.0,Therapeutic
Anti human t-lymphotropic virus,/Therapeutic/Antimicrobial/Antiviral/Anti retroviridae/Anti human t-lymphotropic virus,5.0,0.0,Therapeutic
Anti murine leukemia virus,/Therapeutic/Antimicrobial/Antiviral/Anti retroviridae/Anti murine leukemia virus,1.0,0.0,Therapeutic
Anti avian myeloblastosis virus,/Therapeutic/Antimicrobial/Antiviral/Anti retroviridae/Anti avian myeloblastosis virus,1.0,0.0,Therapeutic
Anti filoviridae,/Therapeutic/Antimicrobial/Antiviral/Anti filoviridae,690.0,5015.0,Therapeutic
Anti hepatitis C virus,/Therapeutic/Antimicrobial/Antiviral/Anti filoviridae/Anti hepatitis C virus,491.0,4459.0,Therapeutic
Anti dengue virus,/Therapeutic/Antimicrobial/Antiviral/Anti filoviridae/Anti dengue virus,74.0,159417.0,Therapeutic
Anti hepatitis B virus,/Therapeutic/Antimicrobial/Antiviral/Anti filoviridae/Anti hepatitis B virus,57.0,551693.0,Therapeutic
Anti west nile virus,/Therapeutic/Antimicrobial/Antiviral/Anti filoviridae/Anti west nile virus,45.0,0.0,Therapeutic
Anti japanese encephalitis virus,/Therapeutic/Antimicrobial/Antiviral/Anti filoviridae/Anti japanese encephalitis virus,25.0,0.0,Therapeutic
Anti ebola virus,/Therapeutic/Antimicrobial/Antiviral/Anti filoviridae/Anti ebola virus,16.0,0.0,Therapeutic
Anti zika virus,/Therapeutic/Antimicrobial/Antiviral/Anti filoviridae/Anti zika virus,11.0,0.0,Therapeutic
Anti mouse hepatitis virus,/Therapeutic/Antimicrobial/Antiviral/Anti filoviridae/Anti mouse hepatitis virus,10.0,0.0,Therapeutic
Anti hepatitis E virus,/Therapeutic/Antimicrobial/Antiviral/Anti filoviridae/Anti hepatitis E virus,10.0,0.0,Therapeutic
Anti tembusu virus,/Therapeutic/Antimicrobial/Antiviral/Anti filoviridae/Anti tembusu virus,2.0,0.0,Therapeutic
Anti yellow fever virus,/Therapeutic/Antimicrobial/Antiviral/Anti filoviridae/Anti yellow fever virus,1.0,0.0,Therapeutic
Anti flaviviridae,/Therapeutic/Antimicrobial/Antiviral/Anti flaviviridae,489.0,5013.0,Therapeutic
Anti classical swine fever virus,/Therapeutic/Antimicrobial/Antiviral/Anti flaviviridae/Anti classical swine fever virus,12.0,0.0,Therapeutic
Anti coronaviridae,/Therapeutic/Antimicrobial/Antiviral/Anti coronaviridae,426.0,54776.0,Therapeutic
Anti SARS-COV 2,/Therapeutic/Antimicrobial/Antiviral/Anti coronaviridae/Anti SARS-COV 2,296.0,645809.0,Therapeutic
Anti SARS-COV,/Therapeutic/Antimicrobial/Antiviral/Anti coronaviridae/Anti SARS-COV,130.0,12153.0,Therapeutic
Anti coronavirus,/Therapeutic/Antimicrobial/Antiviral/Anti coronaviridae/Anti coronavirus,109.0,119086.0,Therapeutic
Anti MERS-COV,/Therapeutic/Antimicrobial/Antiviral/Anti coronaviridae/Anti MERS-COV,49.0,0.0,Therapeutic
Anti human coronavirus,/Therapeutic/Antimicrobial/Antiviral/Anti coronaviridae/Anti human coronavirus,21.0,0.0,Therapeutic
Anti canine coronavirus,/Therapeutic/Antimicrobial/Antiviral/Anti coronaviridae/Anti canine coronavirus,9.0,0.0,Therapeutic
Anti feline coronavirus,/Therapeutic/Antimicrobial/Antiviral/Anti coronaviridae/Anti feline coronavirus,3.0,0.0,Therapeutic
Anti transmissible gastroenteritis virus,/Therapeutic/Antimicrobial/Antiviral/Anti coronaviridae/Anti transmissible gastroenteritis virus,3.0,0.0,Therapeutic
Anti murine hepatitis virus,/Therapeutic/Antimicrobial/Antiviral/Anti coronaviridae/Anti murine hepatitis virus,2.0,0.0,Therapeutic
Anti sl-cov-wiv1,/Therapeutic/Antimicrobial/Antiviral/Anti coronaviridae/Anti sl-cov-wiv1,1.0,0.0,Therapeutic
Anti porcine respiratory coronavirus,/Therapeutic/Antimicrobial/Antiviral/Anti coronaviridae/Anti porcine respiratory coronavirus,1.0,0.0,Therapeutic
Anti herpesviridae,/Therapeutic/Antimicrobial/Antiviral/Anti herpesviridae,388.0,199826.0,Therapeutic
Anti herpes simplex virus,/Therapeutic/Antimicrobial/Antiviral/Anti herpesviridae/Anti herpes simplex virus,327.0,112884.0,Therapeutic
Anti human cytomegalovirus,/Therapeutic/Antimicrobial/Antiviral/Anti herpesviridae/Anti human cytomegalovirus,45.0,0.0,Therapeutic
Anti marek's disease virus,/Therapeutic/Antimicrobial/Antiviral/Anti herpesviridae/Anti marek's disease virus,10.0,0.0,Therapeutic
Anti varicella zoster virus,/Therapeutic/Antimicrobial/Antiviral/Anti herpesviridae/Anti varicella zoster virus,3.0,0.0,Therapeutic
Anti bovine herpesvirus type 1,/Therapeutic/Antimicrobial/Antiviral/Anti herpesviridae/Anti bovine herpesvirus type 1,1.0,0.0,Therapeutic
Anti paramyxoviridae,/Therapeutic/Antimicrobial/Antiviral/Anti paramyxoviridae,344.0,479070.0,Therapeutic
Anti respiratory syncytial virus,/Therapeutic/Antimicrobial/Antiviral/Anti paramyxoviridae/Anti respiratory syncytial virus,173.0,564520.0,Therapeutic
Anti human parainfluenza virus,/Therapeutic/Antimicrobial/Antiviral/Anti paramyxoviridae/Anti human parainfluenza virus,99.0,9617.0,Therapeutic
Anti measles virus,/Therapeutic/Antimicrobial/Antiviral/Anti paramyxoviridae/Anti measles virus,46.0,0.0,Therapeutic
Anti newcastle disease virus,/Therapeutic/Antimicrobial/Antiviral/Anti paramyxoviridae/Anti newcastle disease virus,18.0,0.0,Therapeutic
Anti hendra virus,/Therapeutic/Antimicrobial/Antiviral/Anti paramyxoviridae/Anti hendra virus,11.0,0.0,Therapeutic
Anti human metapneumovirus,/Therapeutic/Antimicrobial/Antiviral/Anti paramyxoviridae/Anti human metapneumovirus,9.0,0.0,Therapeutic
Anti sendai virus,/Therapeutic/Antimicrobial/Antiviral/Anti paramyxoviridae/Anti sendai virus,8.0,0.0,Therapeutic
Anti metapneumovirus,/Therapeutic/Antimicrobial/Antiviral/Anti paramyxoviridae/Anti metapneumovirus,5.0,0.0,Therapeutic
Anti nipah virus,/Therapeutic/Antimicrobial/Antiviral/Anti paramyxoviridae/Anti nipah virus,1.0,0.0,Therapeutic
Anti orthomyxoviridae,/Therapeutic/Antimicrobial/Antiviral/Anti orthomyxoviridae,190.0,942738.0,Therapeutic
Anti influenza virus,/Therapeutic/Antimicrobial/Antiviral/Anti orthomyxoviridae/Anti influenza virus,179.0,56622.0,Therapeutic
Anti H1N1 virus,/Therapeutic/Antimicrobial/Antiviral/Anti orthomyxoviridae/Anti H1N1 virus,17.0,0.0,Therapeutic
Anti H3N2 virus,/Therapeutic/Antimicrobial/Antiviral/Anti orthomyxoviridae/Anti H3N2 virus,8.0,0.0,Therapeutic
Anti avian influenza virus,/Therapeutic/Antimicrobial/Antiviral/Anti orthomyxoviridae/Anti avian influenza virus,2.0,0.0,Therapeutic
Anti H5N1 virus,/Therapeutic/Antimicrobial/Antiviral/Anti orthomyxoviridae/Anti H5N1 virus,1.0,0.0,Therapeutic
Anti bunyaviridae,/Therapeutic/Antimicrobial/Antiviral/Anti bunyaviridae,126.0,81685.0,Therapeutic
Anti sin nombre virus,/Therapeutic/Antimicrobial/Antiviral/Anti bunyaviridae/Anti sin nombre virus,126.0,3193.0,Therapeutic
Anti hantaviridae,/Therapeutic/Antimicrobial/Antiviral/Anti hantaviridae,86.0,3845.0,Therapeutic
Anti andes virus,/Therapeutic/Antimicrobial/Antiviral/Anti hantaviridae/Anti andes virus,85.0,1987.0,Therapeutic
Anti puumala virus,/Therapeutic/Antimicrobial/Antiviral/Anti hantaviridae/Anti puumala virus,1.0,0.0,Therapeutic
Anti poxviridae,/Therapeutic/Antimicrobial/Antiviral/Anti poxviridae,60.0,73.0,Therapeutic
Anti vaccinia,/Therapeutic/Antimicrobial/Antiviral/Anti poxviridae/Anti vaccinia,60.0,49415.0,Therapeutic
Anti cowpox virus,/Therapeutic/Antimicrobial/Antiviral/Anti poxviridae/Anti cowpox virus,1.0,0.0,Therapeutic
Anti monkeypox virus,/Therapeutic/Antimicrobial/Antiviral/Anti poxviridae/Anti monkeypox virus,1.0,0.0,Therapeutic
Anti picornaviridae,/Therapeutic/Antimicrobial/Antiviral/Anti picornaviridae,49.0,0.0,Therapeutic
Anti coxsackie virus,/Therapeutic/Antimicrobial/Antiviral/Anti picornaviridae/Anti coxsackie virus,17.0,0.0,Therapeutic
Anti encephalomyocarditis virus,/Therapeutic/Antimicrobial/Antiviral/Anti picornaviridae/Anti encephalomyocarditis virus,14.0,0.0,Therapeutic
Anti enterovirus,/Therapeutic/Antimicrobial/Antiviral/Anti picornaviridae/Anti enterovirus,7.0,0.0,Therapeutic
Anti duck hepatitis virus,/Therapeutic/Antimicrobial/Antiviral/Anti picornaviridae/Anti duck hepatitis virus,5.0,0.0,Therapeutic
Anti foot-and-mouth disease virus,/Therapeutic/Antimicrobial/Antiviral/Anti picornaviridae/Anti foot-and-mouth disease virus,5.0,0.0,Therapeutic
